IP,Time,Processor Time,Page Faults,Cache Faults,Available Bytes,Committed Bytes,Response Time
URMILA-PC,11:46:12,8.278045,9502.387,50.937748,3.57215027E9,6.7425116E9,37039506300
mahananda,11:46:23,1.285627,101.8046,1.197701,9.7349222E8,5.0528256E9,51302774000
mahananda,11:47:13,1.285627,101.8046,1.197701,9.7349222E8,5.0528256E9,20091961100
URMILA-PC,11:48:02,13.382779,21421.016,441.4747,3.4028544E9,6.8963738E9,21542777600
DESKTOP-Q00J1OI,11:48:02,27.326405,1521.4935,201.80229,7.9598797E8,9.377026E9,75912344200
DESKTOP-Q00J1OI,11:48:24,24.87959,1288.098,253.55003,7.8266778E8,9.381974E9,20081312500
mahananda,11:48:24,1.285627,101.8046,1.197701,9.7349222E8,5.0528256E9,20198841200
URMILA-PC,11:49:32,2.166831,4922.81,6.396375,3.48053914E9,6.7595346E9,20050648000
DESKTOP-Q00J1OI,11:49:28,35.18849,3248.7803,182.27151,7.5347968E8,9.4233068E9,20799767100
URMILA-PC,11:50:32,1.772477,3872.61,13.797898,3.4937815E9,6.7399557E9,20035230500
mahananda,11:50:26,1.285627,101.8046,1.197701,9.7349222E8,5.0528256E9,20276395700
DESKTOP-Q00J1OI,11:51:24,40.084408,22836.236,2412.5503,9.5809536E8,8.9918751E9,20002043900
mahananda,11:51:26,1.285627,101.8046,1.197701,9.7349222E8,5.0528256E9,20062546100
URMILA-PC,11:52:32,2.442804,4652.16,3.797519,3.54338406E9,6.6863555E9,20042351600
DESKTOP-Q00J1OI,11:52:28,10.634739,2926.6423,45.39445,9.8014822E8,9.0145423E9,20932979000
mahananda,11:52:57,1.285627,101.8046,1.197701,9.7349222E8,5.0528256E9,20037724000
URMILA-PC,11:53:02,5.960966,5601.8086,11.792019,3.50568038E9,6.7245466E9,20044860400
mahananda,11:54:38,1.285627,101.8046,1.197701,9.7349222E8,5.0528256E9,20054350000
DESKTOP-Q00J1OI,11:54:44,0.63589,1096.4663,0.0,9.1501773E8,9.049387E9,21541176500
